Titulo;Subtitulo;Autores;Editorial;Fecha_Publicacion;ISBN_13;ISBN_10;Paginas;Categorias;Tipo;Lenguaje;Imagen;Rating;Opiniones;Precio_Lista;Moneda_Lista;Precio_Venta;Moneda_Venta
Access 2007 Programming by Example with VBA, XML, and ASP;;Julitta Korol;Jones & Bartlett Learning;2007-11;9781598220421;159822042X;938;Computers;BOOK;en;http://books.google.com/books/content?id=7WjlD7h1pLIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Beginning Object-Oriented Programming with VB 2005;From Novice to Professional;Dan Clark;Apress;2006-11-22;9781430200956;1430200952;384;Computers;BOOK;en;http://books.google.com/books/content?id=COy-8zflRWgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;1665.77;ARS;1166.04;ARS
ECOOP '97 - Object-Oriented Programming;11th European Conference, Jyväskylä, Finland, June 9 - 13, 1997, Proceedings;Mehmed Aksit|Satoshi Matsuoka;Springer Science & Business Media;1997-05-28;9783540630890;3540630899;529;Computers;BOOK;en;http://books.google.com/books/content?id=xEdJoKgPHOYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Programming Languages;An Active Learning Approach;Kent D. Lee;Springer Science & Business Media;2008-12-15;9780387794228;0387794220;282;Computers;BOOK;en;http://books.google.com/books/content?id=OuW5dC2O99AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;4361.77;ARS;3053.24;ARS
Applied Optimization with MATLAB Programming;;P. Venkataraman;John Wiley & Sons;2009-03-23;9780470084885;047008488X;526;Technology & Engineering;BOOK;en;http://books.google.com/books/content?id=kKWs51HLLA8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Advances in Genetic Programming;;Kenneth L. Kinnear, Jr.|Kenneth E. Kinnear|Peter J. Angeline;MIT Press;1994;9780262111881;0262111888;518;Computers;BOOK;en;http://books.google.com/books/content?id=eu2JplnQdBkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Subrecursive Programming Systems;Complexity & Succinctness;James S. Royer|John Case;Springer Science & Business Media;1994-08-01;9780817637675;0817637672;253;Computers;BOOK;en;http://books.google.com/books/content?id=hs0-u-wsOLcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Dynamic Programming;Models and Applications;Eric V. Denardo;Courier Corporation;2003-04-23;9780486428109;0486428109;227;Computers;BOOK;en;http://books.google.com/books/content?id=KKY1R_eVRyoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Mathematical Programming;An Introduction to Optimization;Melvyn Jeter;CRC Press;1986-05-01;9780824774783;0824774787;360;Business & Economics;BOOK;en;http://books.google.com/books/content?id=ofrBsl61lq8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Multiple Criteria and Multiple Constraint Levels Linear Programming;Concepts, Techniques and Applications;Shi Yong|Peng Yi;World Scientific;2001;9789810237387;9810237383;517;Science;BOOK;en;http://books.google.com/books/content?id=5J2zwg5mUXQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
An Advanced Logic Programming Language;;Anthony Dodd|Tony Dodd;Intellect Books;1990;9781871516104;1871516102;392;Computers;BOOK;en;http://books.google.com/books/content?id=v7f1yn5qUywC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;530.51;ARS;371.36;ARS
Perinatal Programming;;Deborah Hodgson|Christopher Coe;CRC Press;2005-12-20;9781842142943;1842142941;352;Medical;BOOK;en;http://books.google.com/books/content?id=v8We8qSNBaAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Programming in Visual Basic;;P. K. McBride;Cengage Learning EMEA;1994;9781858050928;1858050928;200;Computers;BOOK;en;http://books.google.com/books/content?id=Vy-gxhsojwYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Genetic Programming;12th European Conference, EuroGP 2009 Tübingen, Germany, April, 15-17, 2009 Proceedings;Leonardo Vanneschi|Steven Gustafson|Alberto Moraglio|Ivanoe de Falco|Marc Ebner;Springer Science & Business Media;2009-04-02;9783642011801;3642011802;363;Computers;BOOK;en;http://books.google.com/books/content?id=WES3qBFXXiwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Computer Concepts and Programming in C;;D.S. Yadav|Rajiv Khanna;New Age International;2008-01-01;9788122425710;8122425712;516;C (Computer program language);BOOK;en;http://books.google.com/books/content?id=mL2UgX1sn9gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Programming in Prolog;;William F. Clocksin|Christopher S. Mellish;Springer Science & Business Media;2003-07-25;9783540006787;3540006788;299;Computers;BOOK;en;http://books.google.com/books/content?id=VjHk2Cjrti8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4;3;;;;
Introduction to Windows and Graphics Programming with Visual C++.NET;;Roger Mayne;World Scientific;2005;9789812564559;9812564551;338;Computers;BOOK;en;http://books.google.com/books/content?id=oYE2Aa7dKTQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Programming in Visual Basic 2010;The Very Beginner's Guide;Jim McKeown;Cambridge University Press;2010-03-22;9781139487603;1139487604;0;Computers;BOOK;en;http://books.google.com/books/content?id=21FthymRusoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Constraint and Integer Programming;Toward a Unified Methodology;Michela Milano;Springer Science & Business Media;2003-11-30;9781402075834;1402075839;370;Computers;BOOK;en;http://books.google.com/books/content?id=N9AENvrab0MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Entropy Optimization and Mathematical Programming;;Shu-Cherng Fang|J.R. Rajasekera|H.S.J. Tsao;Springer Science & Business Media;1997-07-31;9780792399391;0792399390;343;Business & Economics;BOOK;en;http://books.google.com/books/content?id=emTBu1KOmc4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Integer Programming and Combinatorial Optimization;13th International Conference, IPCO 2008 Bertinoro, Italy, May 26-28, 2008 Proceedings;Andrea Lodi|Alessandro Panconesi|Giovanni Rinaldi;Springer Science & Business Media;2008-05-08;9783540688860;3540688862;475;Computers;BOOK;en;http://books.google.com/books/content?id=s2A8sa3J_PMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Reflections on the Teaching of Programming;Methods and Implementations;Jens Bennedsen|Michael E. Caspersen|Michael Kölling;Springer Science & Business Media;2008-05-20;9783540779339;3540779337;261;Education;BOOK;en;http://books.google.com/books/content?id=pVgaOdMTIDAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Elementary Linear Programming with Applications;;Bernard Kolman|Robert Edward Beck;Gulf Professional Publishing;1995;9780124179103;012417910X;449;Business & Economics;BOOK;en;http://books.google.com/books/content?id=3iZznGJq4ZMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Python Programming Fundamentals;;Kent D. Lee;Springer Science & Business Media;2010-10-26;9781849965378;1849965374;241;Computers;BOOK;en;http://books.google.com/books/content?id=z72HqqZgyjMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;1699.1;ARS;1189.37;ARS
Java Server Programming Java Ee5 Black Book, Platinum Ed (With Cd);;Kogent Solutions Inc.;Dreamtech Press;2008-07-01;9788177228359;8177228358;1748;Java (Computer program language);BOOK;en;http://books.google.com/books/content?id=RkNPvUAIsyoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4.5;2;;;;
Multithreaded Programming with Java Technology;;Bil Lewis|Daniel J. Berg;Prentice Hall Professional;2000;9780130170071;0130170070;461;Computers;BOOK;en;http://books.google.com/books/content?id=bIchilfV3bcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4;1;;;;
Component-Oriented Programming;;Andy Ju An Wang|Kai Qian;John Wiley & Sons;2005-04-29;9780471713692;0471713694;336;Computers;BOOK;en;http://books.google.com/books/content?id=JjU4oTylRm8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;3;1;6173.2;ARS;4321.24;ARS
Engaged Learning for Programming in C++;A Laboratory Course;Jim Roberge|James Robergé|Matthew Bauer|George K. Smith;Jones & Bartlett Learning;2001;9780763714239;0763714232;365;Computers;BOOK;en;http://books.google.com/books/content?id=IKHeZeSFOskC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Advanced Functional Programming;6th International School, AFP 2008, Heijen, The Netherlands, May 19-24, 2008, Revised Lectures;Rinus Plasmeijer;Springer Science & Business Media;2009-09-23;9783642046513;3642046517;331;Computers;BOOK;en;http://books.google.com/books/content?id=22erJkdtlJ4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Implementations of Logic Programming Systems;;Evan Tick|Giancarlo Succi;Springer Science & Business Media;1994-06-30;9780792394570;0792394577;262;Computers;BOOK;en;http://books.google.com/books/content?id=MK1LCI9noewC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Sams Teach Yourself Beginning Programming in 24 Hours;;Greg M. Perry;Sams Publishing;2002;9780672323072;0672323079;479;Computers;BOOK;en;http://books.google.com/books/content?id=OtOre6mH85EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;2;1;;;;
Complete Maya Programming;An Extensive Guide to MEL and C++ API;David Gould;Morgan Kaufmann;2003;9781558608351;1558608354;503;Computers;BOOK;en;http://books.google.com/books/content?id=zljjFzxsc8IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;3;2;;;;
A Primer on Scientific Programming with Python;;Hans Petter Langtangen;Springer Science & Business Media;2009-08-07;9783642024757;3642024750;694;Computers;BOOK;en;http://books.google.com/books/content?id=cVof07z_rA4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;3;2265.62;ARS;1585.93;ARS
Functional and Logic Programming;10th International Symposium, FLOPS 2010, Sendai, Japan, April 19-21, 2010, Proceedings;Matthias Blume|Naoki Kobayashi|Germán Vidal-Oriola;Springer Science & Business Media;2010-04-09;9783642122507;3642122507;355;Computers;BOOK;en;http://books.google.com/books/content?id=DpwGW8GB11MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
The Placenta and Human Developmental Programming;;Graham J. Burton|David J. P. Barker|Ashley Moffett|Kent Thornburg;Cambridge University Press;2010-12-16;9781139494229;1139494228;0;Medical;BOOK;en;http://books.google.com/books/content?id=cq-Z4SNRo30C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Palm Programming for the Absolute Beginner;;Andrew Harris;Cengage Learning;2001;9780761535249;0761535241;434;Computers;BOOK;en;http://books.google.com/books/content?id=TyBAPwDQykgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Introduction to Functional Programming Systems Using Haskell;;Antony J. T. Davie;Cambridge University Press;1992-06-18;9780521277242;0521277248;290;Computers;BOOK;en;http://books.google.com/books/content?id=OPFoJZeI8MEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;2;;;;
Essentials of Programming Languages;;Daniel P. Friedman|Mitchell Wand|Christopher Thomas Haynes;MIT Press;2001;9780262062176;0262062178;389;Computers;BOOK;en;http://books.google.com/books/content?id=GtPoyremy4EC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;3;5;;;;
Bluetooth Application Programming with the Java APIs Essentials Edition;;Timothy J. Thompson|C Bala Kumar|Paul J. Kline;Morgan Kaufmann;2008-04-02;9780080561004;0080561004;304;Computers;BOOK;en;http://books.google.com/books/content?id=0dsIPdbr4o8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;2034.4;ARS;1424.08;ARS
